"","x"
"1",4.01529656639417
"2",3.14248300518682
"3",1.50763315043993
"4",-2.00917277553508
"5",-6.22158741379346
"6",-6.09236297216394
"7",-5.33184880104893
"8",-1.60801095017806
"9",1.23789956360653
"10",5.45774576054301
"11",9.3565877516915
"12",10.75077364581
"13",10.2670838864636
"14",7.64649737091047
"15",1.70410529251502
"16",-2.78548207551197
"17",-7.47259049157461
"18",-8.85932880186106
"19",-9.49610354233378
"20",-7.01960201903731
"21",-4.44711762037147
"22",-1.18078895818622
"23",2.30536356528941
"24",2.3812027906241
"25",1.9418514618207
"26",1.10943474737275
"27",-0.918002020564408
"28",-2.42444212467607
"29",-3.10898983583519
"30",-3.09317019431533
"31",-0.953458812207294
"32",-0.0472775773088041
"33",1.28074164486311
"34",0.376548473495053
"35",1.25153003030829
"36",-0.323270561688638
"37",-0.957918550109843
"38",-2.92584225546832
"39",-2.20351948470156
"40",-3.45808287193636
"41",-2.69128289168701
"42",-1.83716374975613
"43",0.451283472988749
"44",1.74860346612661
"45",4.17434843825733
"46",4.16566935463907
"47",3.54105916075976
"48",-0.0687267782375414
"49",-0.157646142087967
"50",0.643606781131311
"51",3.87202753393043
"52",5.46037610014609
"53",6.50637355617605
"54",4.85442798934876
"55",4.02205967421514
"56",0.390020289551399
"57",-0.709125399246175
"58",-2.70562720491103
"59",-1.21690694280067
"60",-1.75000403579568
"61",0.0616594760738112
"62",-0.889179283600862
"63",-0.834029838288879
"64",-1.50746486365873
"65",0.087438513623192
"66",1.03155611881313
"67",2.19226176289907
"68",3.6607161031096
"69",4.39156129260489
"70",4.34901501386448
"71",3.47161798067945
"72",0.750685358480739
"73",-1.30370135717433
"74",-2.10550634563907
"75",-3.01903185562443
"76",-2.57943273094578
"77",-3.55891949889542
"78",-2.9880995384461
"79",-2.06748452155281
"80",-0.581134225553007
"81",1.14747249883702
"82",2.78438963865936
"83",2.17275000652821
"84",0.970341744906657
"85",-0.979640709406556
"86",-2.80966194559893
"87",-4.04809998540558
"88",-5.11623440233216
"89",-4.29754405980787
"90",-3.06209618015049
"91",-1.58717660204558
"92",1.3522276784888
"93",3.58582799589259
"94",5.11993471670331
"95",6.26406240449911
"96",6.92629557970278
"97",5.88594780433458
"98",3.51192635031628
"99",0.193127716089428
"100",-3.56621621166861
"101",-6.54382115182724
"102",-7.67812306664892
"103",-5.42739931929983
"104",-2.89405907677939
"105",1.09355821578617
"106",5.67010352555517
"107",8.22957076893659
"108",10.5642104482613
"109",10.1196897486917
"110",8.13364364192382
"111",4.58848260707691
"112",-1.20543254456828
"113",-7.3825237444344
"114",-9.27893125857148
"115",-9.97801641169762
"116",-6.66035260718175
"117",-3.09210566627594
"118",1.65748306260213
"119",4.55610403719246
"120",5.22192217895858
"121",4.54352281178482
"122",4.96035524383363
"123",4.5846630284322
"124",1.57847628688221
"125",-0.13319390109738
"126",-1.321765452171
"127",-3.29167807663407
"128",-2.82495597627306
"129",-3.35282545556566
"130",-4.20242004877081
"131",-3.81285513675777
"132",-2.46136025885463
"133",-1.19873823249297
"134",-1.47570123945848
"135",-1.67026401977496
"136",-1.33184154401855
"137",-0.708796967977863
"138",0.826231400411506
"139",0.195365542654732
"140",0.422076672166378
"141",1.20575631576457
"142",0.848348183259424
"143",1.60656449199342
"144",1.24650234225093
"145",2.17750815726857
"146",1.15537305160582
"147",0.03993714930035
"148",-0.25250574120812
"149",-0.726139903237284
"150",-0.610971783064668
